,date,SO2,NO2,NO,NOX,O3,MP10,MP25
7998,2018-09-03 00:00:00,2.75,9.69,2.13327,11.8202,12.0,42.0,10.0
7999,2018-09-03 01:00:00,2.93,7.99,2.0577,10.0488,13.0,36.0,10.0
8000,2018-09-03 02:00:00,3.15,7.45,2.08793,9.53833,12.0,33.0,12.0
8001,2018-09-03 03:00:00,3.87,8.19,2.05617,10.2498,12.0,30.0,13.0
8002,2018-09-03 04:00:00,4.39,9.42,2.1169,11.5327,12.0,27.0,14.0
8003,2018-09-03 05:00:00,4.83,12.0,2.64375,14.6457,11.0,26.0,16.0
8004,2018-09-03 06:00:00,3.83,12.28,3.50713,15.7895,11.0,24.0,14.0
8005,2018-09-03 07:00:00,5.48,14.44,7.8362,22.2772,10.0,23.0,14.0
8006,2018-09-03 08:00:00,13.25,15.12,28.5975,43.7193,8.0,22.0,16.0
8007,2018-09-03 09:00:00,19.08,16.53,45.5132,62.0442,8.0,35.0,21.0
8008,2018-09-03 10:00:00,160.5,24.03,114.324,138.35,8.0,59.0,31.0
8009,2018-09-03 11:00:00,44.86,19.65,44.6472,64.302,10.0,85.0,42.0
8010,2018-09-03 12:00:00,6.37,10.79,7.87778,18.67,17.0,87.0,40.0
8011,2018-09-03 13:00:00,7.45,11.65,7.64162,19.2888,19.0,90.0,29.0
8012,2018-09-03 14:00:00,4.85,10.69,6.54972,17.2368,20.0,114.0,23.0
8013,2018-09-03 15:00:00,4.93,10.1,7.2121,17.309,17.0,98.0,19.0
8014,2018-09-03 16:00:00,4.07,9.07,5.3062,14.3745,19.0,73.0,15.0
8015,2018-09-03 17:00:00,6.73,13.59,5.07605,18.6648,16.0,56.0,12.0
8016,2018-09-03 18:00:00,4.18,12.49,3.94152,16.4302,15.0,54.0,12.0
8017,2018-09-03 19:00:00,2.21,7.32,2.38158,9.70073,19.0,64.0,14.0
8018,2018-09-03 20:00:00,1.91,6.74,2.03223,8.77419,19.0,60.0,13.0
8019,2018-09-03 21:00:00,1.74,7.32,2.14865,9.46617,18.0,52.0,11.0
8020,2018-09-03 22:00:00,2.15,8.55,2.58735,11.1395,16.0,48.0,7.0
8021,2018-09-03 23:00:00,3.83,12.98,2.46995,15.4452,12.0,49.0,14.0
22470,2020-04-28 00:00:00,10.89,12.84,4.83878,17.675,5.0,18.0,6.0
22471,2020-04-28 01:00:00,9.75,10.97,4.06175,15.0325,6.0,22.0,7.0
22472,2020-04-28 02:00:00,3.82,5.39,1.01063,6.40058,8.0,21.0,7.0
22473,2020-04-28 03:00:00,17.02,12.67,14.1497,26.8208,4.0,14.0,7.0
22474,2020-04-28 04:00:00,6.61,13.52,11.4002,24.9157,3.0,20.0,7.0
22475,2020-04-28 05:00:00,15.37,7.87,3.35657,11.2263,7.0,29.0,9.0
22476,2020-04-28 06:00:00,4.15,7.1,2.23128,9.3342,8.0,24.0,8.0
22477,2020-04-28 07:00:00,3.03,6.15,2.11533,8.26973,8.0,18.0,6.0
22478,2020-04-28 08:00:00,33.46,9.89,11.2771,21.1628,5.0,21.0,5.0
22479,2020-04-28 09:00:00,199.11,15.06,47.7582,62.8225,5.0,46.0,10.0
22480,2020-04-28 10:00:00,26.5,10.86,16.0862,26.9495,6.0,74.0,21.0
22481,2020-04-28 11:00:00,5.38,8.59,7.4609,16.0502,9.0,78.0,20.0
22482,2020-04-28 12:00:00,3.79,7.2,5.62438,12.8205,11.0,71.0,16.0
22483,2020-04-28 13:00:00,3.69,9.81,7.72978,17.535,12.0,81.0,14.0
22484,2020-04-28 14:00:00,3.35,8.3,4.70038,12.9985,15.0,107.0,11.0
22485,2020-04-28 15:00:00,3.18,6.28,2.98093,9.2574,15.0,122.0,10.0
22486,2020-04-28 16:00:00,3.24,7.02,3.02347,10.0476,15.0,135.0,10.0
22487,2020-04-28 17:00:00,3.16,6.99,1.69252,8.6869,16.0,125.0,11.0
22488,2020-04-28 18:00:00,3.12,7.16,1.60485,8.76762,16.0,102.0,11.0
22489,2020-04-28 19:00:00,17.47,12.87,4.74063,17.6093,9.0,79.0,10.0
22490,2020-04-28 20:00:00,16.43,15.98,6.86243,22.846,6.0,68.0,12.0
22491,2020-04-28 21:00:00,22.95,16.82,5.69805,22.5212,4.0,69.0,14.0
22492,2020-04-28 22:00:00,7.9,13.18,2.42158,15.6057,6.0,76.0,16.0
22493,2020-04-28 23:00:00,3.98,11.15,1.27807,12.4247,7.0,68.0,15.0
